,index,지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
33,2761,108,서울,2015-11,8.9,12.7,5.9,21.0,-7.3,20151112.0,20151127.0,1012.9,1023.4,1031.4,1012.7,20151128.0,20151114.0,8.6,15.5,2.3,20151114.0,20151127.0,4.0,74.0,23.0,20151101.0,104.6,24.5,,,20151107.0,,,27.7,2.3,,,20151117.0,,2.7,7.7,13.2,70.0,90.0,20151106.0,20151106.0,70.0,6.6,4.4,109.0,35.64,177.93,,,,,,3.0,-8.4,20151127.0,9.5,9.4,10.0,11.1,11.4,12.9,15.4,17.0,18.8,17.8
34,2762,108,서울,2015-12,1.6,6.0,-2.1,12.2,-9.5,20151213.0,20151228.0,1014.8,1025.6,1037.5,1010.1,20151219.0,20151203.0,4.3,10.9,1.0,20151202.0,20151228.0,-5.9,60.0,19.0,20151225.0,29.1,13.5,,,20151202.0,,,30.7,1.9,,,20151225.0,,2.3,8.0,16.8,320.0,320.0,20151203.0,20151202.0,70.0,4.1,2.7,177.8,59.48,206.35,6.5,6.5,7.5,20151203.0,20151203.0,-5.4,-13.6,20151229.0,2.2,2.2,2.9,4.3,4.8,6.3,9.7,12.2,16.8,17.7
35,2763,108,서울,2016-01,-3.2,1.1,-6.8,9.5,-18.0,20160102.0,20160124.0,1014.5,1025.5,1034.2,1011.0,20160123.0,20160118.0,2.8,9.0,0.7,20160102.0,20160124.0,-12.0,53.0,17.0,20160131.0,1.0,0.4,,,20160113.0,,,38.2,2.0,,,20160131.0,,2.5,9.0,15.1,340.0,340.0,20160119.0,20160118.0,320.0,4.0,2.6,196.1,63.86,246.52,0.5,0.5,1.4,20160126.0,20160126.0,-10.3,-18.7,20160124.0,-1.4,-1.5,-0.6,0.7,1.3,2.8,6.0,8.5,14.4,16.6
36,2764,108,서울,2016-02,0.2,5.1,-4.1,14.4,-10.0,20160213.0,20160215.0,1013.3,1024.2,1035.3,999.3,20160225.0,20160213.0,3.5,15.1,1.1,20160213.0,20160215.0,-9.4,52.0,16.0,20160226.0,47.6,21.0,,,20160213.0,,,45.4,2.7,,,20160221.0,,2.8,7.6,14.4,250.0,320.0,20160218.0,20160208.0,320.0,3.7,2.3,195.2,62.26,288.43,5.0,5.0,6.5,20160228.0,20160228.0,-7.9,-15.9,20160203.0,1.1,0.7,0.6,1.2,1.3,1.9,4.0,6.2,12.3,15.4
37,2765,108,서울,2016-03,7.0,12.6,2.4,21.4,-7.5,20160331.0,20160301.0,1010.9,1021.5,1030.2,1009.1,20160301.0,20160318.0,5.2,13.8,1.3,20160305.0,20160301.0,-3.5,51.0,15.0,20160331.0,40.5,40.0,,,20160305.0,,,83.0,4.5,,,20160305.0,,2.4,7.1,12.7,270.0,290.0,20160302.0,20160329.0,320.0,3.6,1.9,253.7,68.29,432.76,,,,,,-1.5,-9.9,20160301.0,9.1,7.7,7.5,7.4,6.9,6.9,6.8,7.4,10.9,14.1
38,2766,108,서울,2016-04,14.1,20.3,9.1,29.6,5.1,20160426.0,20160404.0,1003.2,1013.3,1024.6,986.5,20160419.0,20160417.0,8.3,15.2,3.2,20160421.0,20160423.0,3.6,55.0,13.0,20160424.0,76.8,23.5,7.5,2.0,20160416.0,20160417.0,20160417.0,97.4,5.0,67.8,4.0,20160411.0,20160429.0,2.4,8.0,16.7,320.0,290.0,20160417.0,20160417.0,320.0,4.8,2.6,219.5,55.47,460.4,,,,,,5.3,-0.8,20160404.0,17.0,15.5,14.8,14.5,13.5,13.3,11.9,11.2,11.2,13.3
39,2767,108,서울,2016-05,19.6,25.7,14.1,31.9,8.9,20160519.0,20160503.0,1001.3,1011.3,1024.3,989.4,20160514.0,20160503.0,12.0,20.6,5.0,20160515.0,20160521.0,9.1,56.0,10.0,20160520.0,160.5,45.0,12.0,3.5,20160515.0,20160515.0,20160515.0,130.7,8.5,96.3,7.1,20160521.0,20160521.0,2.4,8.7,18.0,270.0,290.0,20160503.0,20160504.0,270.0,4.6,2.5,280.1,63.57,594.54,,,,,,10.8,3.6,20160505.0,23.2,21.2,20.4,19.9,18.6,18.7,16.7,15.4,12.7,13.1
40,2768,108,서울,2016-06,23.6,28.7,19.5,32.2,17.1,20160605.0,20160601.0,997.6,1007.4,1013.8,996.5,20160606.0,20160624.0,17.9,30.0,8.8,20160622.0,20160602.0,15.5,63.0,21.0,20160605.0,54.4,30.5,26.0,16.5,20160622.0,20160622.0,20160622.0,132.4,8.0,97.6,7.7,20160622.0,20160622.0,2.1,6.8,10.5,340.0,250.0,20160622.0,20160625.0,270.0,5.3,3.3,229.7,51.97,508.07,,,,,,16.5,12.6,20160602.0,28.2,25.6,24.9,24.4,23.0,23.2,20.9,19.3,14.8,13.6
41,2769,108,서울,2016-07,26.2,29.8,23.3,34.1,19.8,20160722.0,20160716.0,997.8,1007.5,1015.5,998.4,20160707.0,20160701.0,24.4,32.4,16.8,20160729.0,20160703.0,20.6,73.0,37.0,20160719.0,358.2,108.5,51.5,20.5,20160701.0,20160729.0,20160701.0,134.0,7.7,94.0,5.4,20160709.0,20160709.0,2.1,6.1,11.2,200.0,290.0,20160727.0,20160705.0,270.0,7.2,4.4,160.4,35.76,403.01,,,,,,21.2,17.3,20160707.0,28.3,26.9,26.4,26.1,24.7,25.2,23.5,22.2,17.4,14.8
42,2770,108,서울,2016-08,28.0,32.6,24.5,36.6,16.1,20160821.0,20160831.0,996.0,1005.6,1012.5,987.0,20160827.0,20160831.0,24.0,34.4,9.3,20160819.0,20160827.0,20.0,64.0,27.0,20160827.0,67.1,20.0,11.5,4.5,20160826.0,20160819.0,20160819.0,168.3,8.1,117.9,5.7,20160826.0,20160826.0,2.1,7.3,13.6,70.0,70.0,20160826.0,20160826.0,270.0,4.6,3.3,236.1,56.11,468.05,,,,,,22.3,14.2,20160827.0,31.9,29.2,28.7,28.4,27.1,27.7,26.0,24.5,19.2,16.0
43,2771,108,서울,2016-09,23.1,27.9,19.3,31.1,14.3,20160905.0,20160921.0,1003.3,1013.2,1023.2,996.6,20160921.0,20160901.0,18.0,24.9,8.4,20160906.0,20160920.0,15.5,65.0,26.0,20160920.0,33.0,13.5,4.5,3.0,20160927.0,20160902.0,20160902.0,127.9,7.4,89.3,5.2,20160920.0,20160920.0,2.0,8.1,15.7,200.0,180.0,20160901.0,20160901.0,50.0,5.8,3.1,191.6,51.41,370.92,,,,,,17.1,10.8,20160921.0,24.9,23.9,23.8,23.8,23.3,24.5,24.3,23.9,20.5,17.2
44,2772,108,서울,2016-10,16.1,21.3,11.6,29.0,0.7,20161004.0,20161031.0,1009.0,1019.2,1032.2,1006.3,20161030.0,20161003.0,11.7,25.2,2.2,20161003.0,20161030.0,8.2,62.0,13.0,20161030.0,74.8,37.0,10.0,2.5,20161025.0,20161025.0,20161025.0,106.4,6.6,74.4,4.6,20161004.0,20161004.0,2.1,6.3,12.8,50.0,20.0,20161023.0,20161023.0,50.0,5.3,2.8,195.7,56.27,318.14,,,,,,8.8,-3.5,20161030.0,17.0,17.2,17.6,18.3,18.3,19.9,21.0,21.6,20.5,18.0
45,2773,108,서울,2016-11,6.8,11.6,2.8,18.6,-6.2,20161119.0,20161124.0,1012.6,1023.2,1034.8,1011.5,20161129.0,20161105.0,6.2,15.5,1.5,20161114.0,20161124.0,-1.8,57.0,19.0,20161120.0,16.7,5.5,,,20161107.0,,,69.6,3.6,48.8,2.5,20161106.0,20161106.0,2.2,6.1,9.8,290.0,180.0,20161122.0,20161104.0,290.0,4.7,3.7,173.3,56.76,235.03,0.8,0.8,0.9,20161126.0,20161126.0,-0.2,-9.6,20161124.0,7.2,8.3,9.0,10.0,10.9,12.1,14.9,17.2,19.4,18.3
46,2774,108,서울,2016-12,1.2,5.8,-2.7,13.6,-9.8,20161220.0,20161216.0,1014.2,1025.0,1035.2,1003.9,20161230.0,20161222.0,4.2,12.4,1.3,20161222.0,20161216.0,-6.4,59.0,16.0,20161206.0,61.1,29.0,,,20161221.0,,,50.0,2.9,34.9,2.1,20161201.0,20161201.0,2.2,7.2,12.9,50.0,270.0,20161221.0,20161201.0,270.0,4.7,3.5,166.4,55.71,205.35,1.0,1.0,1.5,20161229.0,20161229.0,-5.6,-12.3,20161216.0,1.6,2.7,3.3,4.3,5.2,6.1,9.2,12.3,17.1,17.9
47,2775,108,서울,2017-01,-1.8,2.9,-5.8,11.4,-12.6,20170106.0,20170123.0,1014.7,1025.6,1036.9,1011.9,20170125.0,20170108.0,3.2,7.8,0.9,20170102.0,20170115.0,-10.3,55.0,17.0,20170128.0,14.9,4.5,,,20170129.0,,,52.2,2.5,36.7,1.7,20170112.0,20170112.0,2.3,7.0,13.1,290.0,270.0,20170114.0,20170110.0,270.0,3.5,2.3,209.0,67.97,256.11,6.6,6.6,14.3,20170120.0,20170120.0,-9.6,-18.8,20170124.0,-0.7,0.2,0.8,1.7,2.5,3.4,6.1,8.9,14.5,16.9
48,2776,108,서울,2017-02,-0.2,4.8,-4.7,12.3,-9.3,20170228.0,20170210.0,1012.6,1023.5,1034.4,1006.1,20170214.0,20170220.0,3.3,10.6,1.2,20170216.0,20170202.0,-9.2,54.0,18.0,20170227.0,11.1,5.1,,,20170222.0,,,63.1,3.9,44.2,2.8,20170227.0,20170227.0,2.4,7.8,12.3,290.0,290.0,20170220.0,20170220.0,270.0,2.8,2.0,210.0,69.31,311.86,0.8,,,20170201.0,,-8.6,-13.5,20170213.0,1.0,0.6,0.5,1.1,1.5,2.0,4.2,6.7,12.4,15.7
49,2777,108,서울,2017-03,6.3,12.3,1.7,18.9,-5.3,20170319.0,20170308.0,1009.0,1019.6,1028.6,1009.3,20170319.0,20170309.0,4.5,10.4,1.5,20170331.0,20170307.0,-4.9,48.0,15.0,20170318.0,7.9,5.0,,,20170301.0,,,116.9,5.4,81.8,3.8,20170319.0,20170319.0,2.4,8.5,17.9,320.0,320.0,20170327.0,20170327.0,270.0,3.9,1.8,255.2,68.73,444.9,,,,,,-2.7,-8.7,20170308.0,8.1,7.1,6.9,6.8,6.7,6.5,6.6,7.5,11.0,14.4
50,2778,108,서울,2017-04,13.9,20.0,9.1,27.8,3.1,20170430.0,20170402.0,1002.6,1012.8,1025.8,995.4,20170404.0,20170418.0,8.0,14.5,1.3,20170430.0,20170412.0,2.9,52.0,10.0,20170412.0,61.6,37.5,8.5,2.5,20170405.0,20170405.0,20170418.0,165.8,9.1,116.1,6.4,20170426.0,20170426.0,2.6,8.1,15.6,200.0,180.0,20170414.0,20170414.0,270.0,4.4,2.3,259.7,65.66,488.91,,,,,,5.2,-1.5,20170403.0,16.9,14.7,14.1,13.5,13.2,12.8,11.5,11.0,11.3,13.5
51,2779,108,서울,2017-05,19.5,25.4,14.4,30.3,10.0,20170530.0,20170506.0,1002.0,1012.0,1022.9,999.1,20170503.0,20170531.0,11.4,18.9,2.8,20170531.0,20170506.0,8.3,52.0,7.0,20170530.0,16.1,6.0,6.0,3.5,20170513.0,20170513.0,20170513.0,215.3,9.9,150.4,7.0,20170519.0,20170519.0,2.4,8.5,15.7,230.0,180.0,20170513.0,20170513.0,270.0,3.9,2.0,301.5,68.48,645.35,,,,,,10.3,4.5,20170506.0,25.0,21.3,20.7,19.6,19.0,18.8,16.6,15.1,12.7,13.3
52,2780,108,서울,2017-06,23.3,28.8,18.7,34.1,14.5,20170623.0,20170606.0,998.4,1008.2,1016.0,996.4,20170606.0,20170601.0,15.7,24.9,5.5,20170626.0,20170610.0,13.1,57.0,14.0,20170610.0,66.6,29.0,17.0,4.5,20170626.0,20170626.0,20170626.0,214.6,11.3,150.3,7.9,20170611.0,20170611.0,2.4,6.4,12.1,180.0,250.0,20170626.0,20170601.0,270.0,4.7,2.9,285.2,64.51,625.27,,,,,,15.8,9.8,20170611.0,28.6,25.6,25.0,24.1,23.4,23.2,20.8,18.9,14.7,13.7
53,2781,108,서울,2017-07,26.9,30.4,24.3,35.4,21.9,20170725.0,20170703.0,997.5,1007.2,1013.3,999.7,20170716.0,20170710.0,26.9,35.6,17.3,20170723.0,20170727.0,22.2,77.0,38.0,20170725.0,621.0,144.5,53.0,16.0,20170710.0,20170703.0,20170702.0,122.7,7.9,85.6,5.5,20170725.0,20170725.0,2.0,7.3,13.3,290.0,270.0,20170702.0,20170702.0,230.0,7.9,5.5,123.1,27.44,375.27,,,,,,23.1,20.9,20170701.0,28.3,27.6,27.4,26.5,26.5,26.4,24.7,23.4,18.7,15.2
54,2782,108,서울,2017-08,25.9,29.7,22.9,35.3,16.1,20170804.0,20170830.0,997.7,1007.4,1017.1,995.9,20170827.0,20170809.0,23.7,34.0,6.7,20170823.0,20170830.0,19.7,71.0,19.0,20170825.0,297.0,124.5,35.5,13.0,20170820.0,20170815.0,20170820.0,139.1,8.2,97.0,5.7,20170826.0,20170826.0,2.3,7.7,15.3,200.0,230.0,20170824.0,20170824.0,70.0,7.0,4.4,166.2,39.47,411.09,,,,,,21.2,13.7,20170831.0,27.7,26.9,27.0,26.2,26.6,26.7,25.8,24.9,20.8,16.8
55,2783,108,서울,2017-09,22.1,27.4,17.5,31.4,11.2,20170926.0,20170929.0,1003.1,1013.0,1022.7,1004.0,20170930.0,20170917.0,16.0,25.0,2.8,20170919.0,20170926.0,13.6,61.0,20.0,20170929.0,35.0,24.0,9.0,5.0,20170911.0,20170911.0,20170919.0,147.3,7.7,103.1,5.4,20170915.0,20170915.0,2.0,6.8,12.1,230.0,250.0,20170919.0,20170919.0,50.0,4.2,2.2,233.7,64.75,445.23,,,,,,14.5,7.3,20170929.0,24.2,23.5,23.6,23.1,23.5,23.6,23.7,23.6,21.2,18.0
56,2784,108,서울,2017-10,16.4,22.5,11.6,29.4,2.5,20171002.0,20171030.0,1010.7,1020.9,1029.2,1008.9,20171015.0,20171002.0,10.7,23.2,2.2,20171011.0,20171030.0,7.0,56.0,16.0,20171030.0,26.5,20.0,6.0,2.5,20171011.0,20171011.0,20171011.0,94.6,4.7,66.5,3.3,20171002.0,20171002.0,1.9,7.6,12.9,270.0,250.0,20171029.0,20171029.0,70.0,4.5,2.5,222.7,66.14,240.97,,,,,,7.5,-5.9,20171031.0,16.8,17.7,18.2,18.4,18.9,19.5,20.9,21.6,20.8,18.5
57,2785,108,서울,2017-11,5.6,10.5,1.3,18.4,-6.6,20171107.0,20171119.0,1012.4,1023.0,1031.4,1010.0,20171130.0,20171110.0,5.4,15.7,0.9,20171102.0,20171130.0,-3.9,54.0,13.0,20171130.0,40.7,24.0,,,20171125.0,,,57.9,3.7,40.7,2.6,20171108.0,20171108.0,2.1,6.7,13.0,290.0,320.0,20171115.0,20171115.0,270.0,4.2,3.3,163.9,59.45,145.34,1.5,1.5,1.5,20171124.0,20171123.0,-4.4,-13.1,20171119.0,5.4,7.5,8.6,9.7,10.6,11.8,15.2,17.6,19.6,18.6
58,2786,108,서울,2017-12,-1.9,2.2,-5.7,8.7,-12.3,20171223.0,20171212.0,1015.1,1026.0,1034.4,1008.3,20171214.0,20171224.0,3.3,8.2,0.8,20171224.0,20171227.0,-10.3,56.0,14.0,20171226.0,34.8,20.0,,,20171224.0,,,36.9,2.2,26.2,1.5,20171204.0,20171226.0,1.8,6.7,14.2,290.0,320.0,20171204.0,20171210.0,290.0,3.9,3.1,176.1,58.96,151.69,5.1,5.1,12.8,20171218.0,20171218.0,-9.8,-16.2,20171213.0,-1.5,0.0,0.8,1.9,2.8,4.4,8.2,11.6,17.1,18.1
59,2787,108,서울,2018-01,-4.0,0.1,-7.3,8.7,-17.8,20180117.0,20180126.0,1013.5,1024.6,1033.8,1007.5,20180112.0,20180108.0,2.5,7.3,0.5,20180115.0,20180125.0,-13.9,48.0,16.0,20180121.0,8.5,3.3,,,20180122.0,,,39.2,1.9,27.4,1.3,20180102.0,20180102.0,1.9,7.2,12.2,320.0,290.0,20180124.0,20180129.0,290.0,4.3,2.7,186.7,65.01,158.99,3.5,3.5,6.9,20180131.0,20180130.0,-11.7,-20.2,20180127.0,-2.8,-1.6,-0.9,0.1,0.8,2.0,4.9,7.8,14.1,17.0
60,2788,108,서울,2018-02,-1.6,3.3,-5.9,10.4,-13.4,20180226.0,20180207.0,1012.8,1023.8,1031.2,1002.3,20180202.0,20180228.0,2.6,7.5,0.7,20180228.0,20180210.0,-13.0,45.0,13.0,20180221.0,29.6,25.0,,,20180228.0,,,65.7,3.7,45.8,2.6,20180220.0,20180220.0,2.2,6.3,12.2,320.0,230.0,20180210.0,20180213.0,290.0,3.9,2.2,194.2,66.53,309.28,4.1,3.7,4.4,20180223.0,20180223.0,-11.8,-21.4,20180207.0,-1.1,-1.0,-1.0,-0.7,-0.4,0.6,3.1,5.7,11.9,15.6
61,2789,108,서울,2018-03,8.1,13.6,3.8,22.1,-6.7,20180314.0,20180302.0,1009.9,1020.3,1031.2,1002.4,20180307.0,20180301.0,6.6,15.8,1.5,20180315.0,20180302.0,-0.2,59.0,13.0,20180303.0,49.5,27.0,,,20180315.0,,,107.2,5.7,74.9,4.0,20180330.0,20180330.0,1.9,6.9,12.8,290.0,90.0,20180301.0,20180320.0,290.0,5.2,4.1,209.1,56.38,446.41,,,,,,-0.4,-10.1,20180302.0,8.4,8.1,7.5,6.8,6.3,6.0,5.6,6.4,10.4,14.2
62,2790,108,서울,2018-04,13.0,18.5,8.1,26.3,0.1,20180420.0,20180409.0,1005.4,1015.6,1025.3,1003.6,20180413.0,20180410.0,8.0,16.4,2.1,20180430.0,20180407.0,2.6,55.0,8.0,20180421.0,130.3,59.0,8.5,2.5,20180423.0,20180423.0,20180423.0,151.3,9.2,105.8,6.4,20180421.0,20180421.0,2.0,8.8,15.9,200.0,230.0,20180410.0,20180410.0,290.0,4.7,3.3,223.4,56.54,513.19,,,,,,3.2,-5.9,20180408.0,14.5,13.6,13.3,12.8,12.4,12.3,11.2,10.7,10.8,13.2
63,2791,108,서울,2018-05,18.2,23.3,13.4,29.6,6.9,20180526.0,20180503.0,1001.3,1011.2,1024.4,1000.8,20180510.0,20180502.0,13.1,26.4,4.8,20180517.0,20180521.0,10.1,63.0,22.0,20180525.0,222.0,83.0,35.0,13.5,20180517.0,20180516.0,20180516.0,159.4,8.2,111.2,5.8,20180526.0,20180524.0,1.7,8.0,13.4,290.0,270.0,20180517.0,20180517.0,290.0,5.4,3.5,231.6,52.66,561.24,,,,,,10.1,3.1,20180504.0,21.1,19.7,19.3,18.7,18.1,17.7,15.9,14.7,12.6,13.0
64,2792,108,서울,2018-06,23.1,28.4,18.9,32.9,16.3,20180625.0,20180616.0,997.8,1007.6,1016.7,997.0,20180602.0,20180628.0,17.3,30.0,8.7,20180630.0,20180602.0,14.9,63.0,19.0,20180603.0,171.5,71.5,22.5,11.0,20180626.0,20180628.0,20180628.0,182.6,10.0,127.9,7.0,20180602.0,20180602.0,1.7,5.7,10.5,200.0,160.0,20180626.0,20180626.0,290.0,5.9,3.0,236.6,53.51,602.59,,,,,,15.2,10.5,20180603.0,27.9,25.4,24.9,24.0,23.3,22.8,20.6,18.8,14.7,13.5
65,2793,108,서울,2018-07,27.8,32.1,24.2,38.3,17.7,20180731.0,20180708.0,998.9,1008.5,1016.3,995.2,20180709.0,20180704.0,24.6,35.2,11.2,20180728.0,20180708.0,20.6,68.0,29.0,20180721.0,185.6,83.5,25.0,9.5,20180701.0,20180702.0,20180701.0,179.0,9.2,124.9,6.4,20180721.0,20180722.0,1.5,4.2,8.4,200.0,290.0,20180714.0,20180711.0,290.0,5.1,3.7,228.5,52.64,561.1,,,,,,21.4,15.8,20180708.0,31.3,28.7,28.1,27.2,26.5,26.1,23.9,22.3,17.9,14.8
66,2794,108,서울,2018-08,28.8,33.3,25.2,39.6,20.2,20180801.0,20180827.0,997.4,1007.0,1014.1,990.1,20180817.0,20180824.0,24.9,36.1,12.7,20180812.0,20180817.0,20.8,65.0,25.0,20180817.0,202.6,96.5,43.5,25.5,20180828.0,20180828.0,20180828.0,175.1,9.4,122.4,6.6,20180801.0,20180801.0,1.7,7.1,17.8,180.0,160.0,20180821.0,20180821.0,290.0,5.8,3.7,232.5,55.19,517.16,,,,,,22.3,16.1,20180826.0,31.8,30.2,29.9,29.1,28.7,28.4,26.7,25.1,19.7,15.9
67,2795,108,서울,2018-09,21.5,26.0,17.6,30.9,10.8,20180901.0,20180925.0,1003.3,1013.2,1023.1,995.3,20180911.0,20180904.0,15.4,29.7,6.8,20180903.0,20180930.0,12.9,61.0,23.0,20180925.0,68.5,34.5,20.0,5.5,20180903.0,20180903.0,20180903.0,144.9,7.1,101.2,4.9,20180908.0,20180909.0,1.6,5.7,11.1,270.0,270.0,20180905.0,20180906.0,70.0,5.1,3.0,218.7,58.6,470.96,,,,,,14.3,6.8,20180925.0,23.5,23.1,23.4,23.4,23.6,24.0,24.3,24.2,21.2,17.3
68,2796,108,서울,2018-10,13.1,18.6,8.5,25.6,0.7,20181004.0,20181030.0,1008.6,1018.9,1027.7,1001.0,20181020.0,20181006.0,8.9,18.9,3.6,20181006.0,20181030.0,4.6,59.0,16.0,20181017.0,120.5,55.5,10.5,3.0,20181006.0,20181006.0,20181005.0,109.1,5.2,76.3,3.6,20181003.0,20181003.0,1.5,6.1,13.8,270.0,270.0,20181001.0,20181028.0,290.0,3.7,2.0,241.9,69.43,403.34,,,,,,4.1,-3.6,20181030.0,14.0,14.6,15.4,16.1,16.7,17.6,19.6,20.8,20.7,18.2
69,2797,108,서울,2018-11,7.8,13.2,3.6,19.4,-3.1,20181104.0,20181123.0,1013.1,1023.7,1030.6,1004.7,20181123.0,20181108.0,6.3,15.4,1.4,20181108.0,20181128.0,-1.0,58.0,12.0,20181128.0,79.1,64.0,,,20181108.0,,,71.1,3.7,49.9,2.6,20181104.0,20181104.0,1.4,5.6,11.5,270.0,290.0,20181122.0,20181109.0,290.0,4.0,2.4,177.6,58.13,265.35,8.8,8.8,8.8,20181124.0,20181124.0,-0.3,-8.6,20181123.0,7.1,8.3,9.1,9.9,10.6,11.7,14.4,16.4,18.9,18.4
70,2798,108,서울,2018-12,-0.6,4.1,-4.7,13.5,-14.4,20181203.0,20181228.0,1016.8,1027.8,1039.7,1013.7,20181231.0,20181203.0,3.1,15.1,0.5,20181203.0,20181227.0,-11.6,46.0,16.0,20181231.0,16.4,9.5,,,20181203.0,,,56.5,2.9,39.6,2.0,20181223.0,20181223.0,1.8,5.9,13.3,290.0,320.0,20181207.0,20181207.0,290.0,3.8,2.3,199.9,66.92,253.64,1.7,1.7,2.1,20181213.0,20181213.0,-8.8,-16.3,20181230.0,0.0,0.8,1.7,2.8,3.7,5.1,8.5,11.4,16.4,17.6
71,2799,108,서울,2019-01,-0.9,4.1,-5.1,8.5,-10.1,20190119.0,20190116.0,1015.4,1026.4,1037.1,1017.7,20190103.0,20190123.0,2.7,6.0,0.9,20190120.0,20190131.0,-12.0,46.0,11.0,20190124.0,0.0,0.0,,,20190128.0,,,63.3,3.3,44.3,2.3,20190128.0,20190128.0,1.8,6.8,12.0,320.0,340.0,20190128.0,20190108.0,290.0,3.1,1.9,215.0,70.01,285.25,,,,,,-11.1,-16.3,20190109.0,-0.4,-0.7,-0.4,0.1,0.7,1.8,4.8,7.6,13.5,16.5
72,2800,108,서울,2019-02,1.0,6.0,-3.2,14.5,-10.2,20190223.0,20190208.0,1013.7,1024.5,1036.2,1008.0,20190212.0,20190203.0,3.2,8.4,0.9,20190203.0,20190214.0,-10.1,47.0,15.0,20190223.0,23.8,16.0,,,20190203.0,,,71.1,4.2,49.7,3.0,20190226.0,20190223.0,1.8,5.5,10.0,320.0,290.0,20190207.0,20190207.0,290.0,4.8,2.7,190.5,62.98,319.96,3.3,3.3,6.7,20190219.0,20190219.0,-7.8,-14.5,20190201.0,1.6,1.2,1.3,1.5,1.7,1.9,3.9,6.1,11.5,15.1
73,2801,108,서울,2019-03,7.1,12.4,2.7,17.6,-1.7,20190326.0,20190314.0,1006.6,1017.1,1026.3,999.6,20190308.0,20190321.0,5.1,11.6,1.5,20190321.0,20190313.0,-3.4,51.0,10.0,20190309.0,26.8,16.5,,,20190320.0,,,109.2,5.6,76.5,3.9,20190326.0,20190329.0,2.1,7.2,14.9,320.0,340.0,20190313.0,20190313.0,270.0,4.7,3.2,203.8,54.99,417.72,,,,,,-2.6,-8.4,20190314.0,8.2,7.1,7.2,7.0,6.8,6.9,6.8,7.5,10.5,13.9
74,2802,108,서울,2019-04,12.1,17.6,7.2,28.2,0.3,20190422.0,20190401.0,1004.8,1015.1,1025.1,1003.6,20190403.0,20190424.0,7.2,17.7,1.9,20190424.0,20190401.0,0.7,51.0,10.0,20190416.0,47.3,17.4,3.8,1.2,20190409.0,20190409.0,20190425.0,147.9,8.2,103.4,5.8,20190416.0,20190416.0,1.9,7.3,12.8,320.0,320.0,20190414.0,20190414.0,290.0,4.9,2.9,221.6,56.13,502.12,,,,,,1.6,-6.7,20190401.0,14.0,12.6,12.3,11.8,11.4,11.2,10.3,10.1,10.8,13.1
75,2803,108,서울,2019-05,19.4,25.6,13.7,33.4,8.4,20190524.0,20190507.0,1001.6,1011.5,1019.7,999.8,20190504.0,20190527.0,10.2,22.8,2.8,20190519.0,20190506.0,6.4,47.0,12.0,20190506.0,37.8,22.0,6.1,2.2,20190519.0,20190520.0,20190520.0,230.1,10.1,161.3,7.1,20190505.0,20190505.0,2.1,6.1,12.3,230.0,290.0,20190520.0,20190520.0,270.0,3.8,1.2,314.0,71.4,701.39,,,,,,8.2,-0.2,20190507.0,24.3,20.9,20.2,19.2,18.3,17.8,15.6,14.2,12.1,12.9
76,2804,108,서울,2019-06,22.5,27.7,18.1,32.8,14.1,20190625.0,20190602.0,997.2,1007.0,1016.1,994.3,20190625.0,20190629.0,16.1,25.2,7.0,20190627.0,20190602.0,13.8,61.0,22.0,20190602.0,74.0,35.3,12.1,4.7,20190607.0,20190607.0,20190618.0,178.8,8.8,124.9,6.2,20190624.0,20190624.0,1.7,5.3,9.9,270.0,320.0,20190615.0,20190603.0,290.0,5.4,3.4,235.1,53.18,589.02,,,,,,14.2,7.3,20190602.0,26.5,24.4,23.9,23.2,22.4,22.1,19.8,18.1,14.2,13.3
